temperature,humidity,comfort_score
23.36,30.95,8.9
26.08,89.75,6.8
28.2,65.36,7.2
30.46,42.7,6.7
30.84,66.71,6.0
22.82,58.25,9.5
37.94,92.44,1.9
25.45,85.08,7.3
34.77,80.17,3.8
28.32,75.62,6.6
30.96,36.88,6.2
19.35,76.71,7.2
34.65,60.79,4.8
28.94,38.69,7.1
36.5,72.4,3.5
37.01,39.28,3.9
30.34,70.44,6.0
19.0,93.5,6.2
19.47,71.72,7.5
24.81,70.83,8.2
22.11,65.07,8.9
33.04,34.31,5.2
23.69,79.24,8.3
34.83,80.89,3.7
36.9,71.61,3.4
29.9,48.64,7.2
20.73,73.82,7.9
36.93,70.06,3.4
19.57,33.51,7.8
22.05,60.45,9.1
31.05,63.6,6.1
26.33,89.92,6.7
34.12,46.55,5.4
25.55,60.99,8.4
18.3,54.87,7.9
24.97,75.17,8.0
34.3,56.69,5.1
22.81,91.9,7.8
26.8,52.11,8.4
20.61,46.36,8.9
19.04,74.19,7.2
35.66,93.91,2.7
23.42,71.23,8.8
32.22,34.92,5.6
29.09,91.84,5.5
24.98,70.62,8.2
23.3,35.49,9.2
24.23,36.18,8.8
26.05,47.03,8.6
26.82,83.9,6.8
22.8,74.37,8.7
34.01,73.65,4.4
32.68,83.29,4.5
21.46,51.7,9.3
23.41,83.37,8.2
22.82,47.86,9.8
32.39,68.77,5.3
27.2,60.92,7.8
32.33,72.65,5.1
32.98,48.03,5.9
30.1,52.09,7.1
19.28,30.99,7.6
26.97,55.33,8.1
28.8,84.72,5.9
23.48,78.82,8.4
23.82,51.55,9.6
35.26,33.21,4.3
30.14,40.31,6.7
28.57,73.49,6.6
29.29,66.64,6.7
18.92,31.09,7.4
19.92,62.79,8.1
23.86,67.12,8.8
35.17,71.33,4.1
34.35,37.84,4.9
25.19,77.41,7.8
18.57,32.25,7.3
35.73,94.28,2.7
34.9,60.91,4.7
27.09,52.0,8.3
20.68,80.58,7.5
32.61,30.5,5.2
18.42,73.43,7.0
28.69,61.54,7.1
27.28,68.88,7.3
27.55,53.57,8.0
20.91,66.09,8.4
32.76,35.06,5.3
25.93,59.27,8.4
18.76,53.33,8.1
33.77,61.75,5.1
36.86,78.44,3.0
28.31,63.3,7.2
34.91,68.15,4.3
29.73,38.13,6.7
25.79,35.94,8.2
21.13,49.64,9.2
26.29,37.94,8.1
29.87,51.5,7.2
30.89,58.15,6.4
31.55,50.53,6.6
29.34,46.47,7.3
35.65,91.6,2.9
36.16,41.63,4.3
34.59,91.04,3.3
20.79,45.53,8.9
23.09,56.01,9.7
20.3,72.35,7.8
19.8,78.55,7.3
24.68,90.08,7.3
29.61,78.96,5.9
36.29,35.9,4.0
20.98,57.5,8.8
29.28,64.68,6.8
21.34,64.87,8.6
21.55,56.08,9.1
34.99,41.72,4.8
29.23,39.79,7.0
25.44,53.9,8.8
20.64,92.72,6.9
19.12,66.51,7.6
37.48,76.52,2.9
20.93,79.27,7.7
30.66,94.27,4.7
20.86,48.35,9.1
28.93,54.03,7.4
22.81,78.94,8.5
21.64,59.5,9.0
23.2,89.13,8.0
37.09,46.81,4.2
30.49,93.12,4.8
37.96,59.75,3.5
34.85,84.02,3.6
37.27,90.41,2.3
32.36,73.53,5.1
25.94,92.84,6.7
36.61,58.97,4.1
26.42,78.39,7.2
24.73,86.74,7.5
29.9,80.24,5.7
29.31,42.84,7.1
28.09,53.32,7.8
30.66,77.47,5.6
34.21,87.77,3.6
27.3,41.61,7.9
24.81,71.33,8.2
29.33,46.26,7.3
24.39,36.71,8.8
34.84,69.28,4.3
33.61,31.69,4.8
24.34,35.58,8.7
36.97,81.47,2.8
23.2,82.28,8.3
29.51,87.81,5.5
29.54,64.36,6.7
28.66,40.66,7.3
29.98,59.33,6.7
20.51,66.55,8.2
22.42,43.57,9.4
25.96,82.01,7.2
33.01,76.25,4.7
30.35,30.86,6.1
34.32,40.99,5.0
28.39,74.38,6.6
36.27,48.96,4.6
18.08,84.88,6.3
31.1,88.55,4.8
25.55,32.92,8.1
31.0,77.52,5.4
31.1,67.09,5.9
35.92,62.79,4.2
34.94,66.62,4.4
36.16,82.39,3.1
28.72,65.99,6.9
29.88,71.65,6.2
37.04,58.79,3.9
35.71,68.26,4.0
28.81,84.49,6.0
22.07,81.48,8.1
31.19,78.33,5.3
31.5,68.72,5.7
33.06,45.57,5.8
19.0,52.48,8.3
34.8,68.31,4.4
19.64,57.29,8.3
22.65,64.49,9.1
36.01,64.41,4.1
27.96,94.99,5.8
22.89,92.78,7.8
33.94,36.93,5.0
18.48,65.8,7.4
37.06,50.73,4.3
23.24,58.94,9.5
34.42,62.92,4.8
25.4,31.09,8.1
33.33,45.97,5.7
30.58,61.66,6.4
23.5,36.55,9.1
30.88,59.28,6.4
18.41,33.3,7.3
27.16,94.93,6.1
31.04,33.05,5.9
24.63,40.53,8.9
27.38,84.17,6.5
23.69,78.03,8.3
37.51,74.06,3.0
24.0,36.6,8.9
22.53,65.21,9.1
18.53,43.52,7.9
21.7,44.55,9.2
33.39,43.71,5.5
29.8,76.24,6.0
20.19,69.31,7.9
33.05,89.22,4.0
21.45,38.24,8.8
28.05,91.97,5.9
29.85,59.38,6.8
28.59,68.02,6.9
36.41,73.56,3.5
31.11,40.76,6.3
31.73,89.72,4.5
28.83,62.88,7.0
18.2,53.16,7.9
21.42,38.14,8.8
23.77,60.67,9.2
30.35,92.36,4.9
19.05,94.66,6.2
30.42,46.63,6.9
24.07,84.54,7.8
23.27,51.78,9.8
30.46,61.26,6.5
20.04,86.88,7.0
31.01,77.81,5.4
35.99,59.64,4.3
19.92,36.6,8.1
33.27,68.26,5.0
23.81,31.3,8.7
33.32,60.71,5.3
20.75,30.57,8.1
26.61,49.24,8.5
35.92,84.05,3.1
30.12,64.94,6.4
21.08,82.35,7.6
30.55,82.39,5.4
34.18,51.0,5.5
18.85,37.2,7.7
19.37,76.66,7.2
19.31,43.56,8.2
30.96,58.69,6.4
29.1,90.99,5.5
35.49,71.43,3.9
31.03,62.3,6.2
30.6,46.83,6.8
35.41,89.59,3.1
30.57,64.71,6.2
28.47,37.42,7.2
30.84,49.83,6.9
36.57,40.63,4.1
35.32,81.37,3.5
37.74,89.95,2.1
32.22,73.08,5.2
25.74,79.17,7.4
21.77,83.17,7.9
34.73,50.15,5.3
35.6,53.44,4.8
30.7,78.58,5.5
28.18,73.48,6.8
22.32,73.94,8.5
35.45,86.95,3.2
30.77,55.95,6.6
22.98,94.87,7.7
31.49,53.14,6.4
24.28,77.33,8.1
37.89,51.62,4.0
28.3,59.34,7.4
24.96,61.27,8.7
26.4,49.45,8.6
23.45,61.81,9.2
20.82,56.33,8.8
37.92,57.68,3.6
33.15,70.46,4.9
25.29,58.4,8.7
29.45,88.36,5.5
31.67,35.78,5.8
28.96,58.12,7.2
36.02,47.1,4.6
33.07,89.23,4.0
22.21,61.15,9.1
37.52,34.71,3.4
27.74,51.69,8.0
21.35,69.58,8.4
27.01,44.04,8.1
18.9,88.44,6.4
30.04,54.68,7.0
18.96,93.29,6.2
29.32,53.15,7.3
29.76,32.28,6.4
32.64,56.34,5.8
32.4,93.73,4.1
26.38,52.67,8.5
30.62,71.96,5.9
23.85,89.93,7.7
21.81,49.93,9.5
30.29,55.41,6.8
32.73,94.39,3.9
37.11,58.1,4.0
25.67,71.78,7.8
24.85,69.13,8.3
19.65,34.11,7.9
18.82,51.85,8.2
21.98,36.13,8.9
27.1,39.93,7.9
22.49,69.64,8.8
31.74,46.86,6.3
26.05,94.41,6.6
28.97,76.63,6.3
21.2,61.8,8.7
23.94,74.26,8.4
32.81,31.05,5.1
27.13,71.66,7.3
31.77,31.29,5.6
23.01,52.37,9.9
32.59,92.83,4.0
22.15,36.64,9.0
31.42,82.63,5.0
33.91,57.12,5.3
33.53,63.09,5.1
29.81,65.45,6.5
19.97,85.68,7.0
21.2,74.76,8.0
25.81,62.9,8.2
29.29,82.4,5.9
23.91,75.16,8.4
24.25,46.51,9.3
32.64,36.04,5.4
33.42,56.8,5.5
34.08,75.43,4.3
18.21,38.5,7.5
19.89,81.15,7.2
20.47,39.34,8.5
18.56,70.21,7.2
29.02,73.72,6.4
35.08,74.66,3.9
23.37,60.66,9.3
33.81,42.75,5.3
33.38,75.88,4.6
20.35,72.52,7.8
20.32,33.04,8.1
33.2,77.31,4.6
20.21,61.03,8.3
19.06,39.94,7.9
21.05,33.41,8.4
37.85,88.19,2.2
22.8,78.43,8.5
30.46,65.3,6.3
20.49,46.67,8.8
25.07,68.61,8.2
34.08,87.35,3.7
27.29,61.39,7.7
25.77,91.63,6.8
22.74,31.3,9.0
35.97,54.95,4.6
30.01,53.52,7.0
35.85,58.43,4.4
21.7,62.19,8.9
35.6,86.62,3.1
20.17,54.1,8.7
37.49,51.51,4.1
36.86,85.88,2.7
21.38,55.51,9.1
36.91,64.78,3.7
34.5,30.06,4.4
18.73,78.45,6.9
20.27,41.01,8.5
23.15,65.24,9.2
24.19,70.19,8.5
30.91,30.54,5.9
32.21,82.31,4.7
22.24,46.72,9.5
21.67,59.23,9.0
37.0,45.98,4.2
34.6,71.85,4.3
20.16,76.2,7.6
28.62,73.0,6.6
33.05,30.35,5.0
33.91,69.51,4.7
34.93,49.88,5.2
18.57,62.16,7.6
32.4,46.98,6.1
34.3,49.32,5.4
26.38,44.08,8.4
26.8,78.5,7.1
26.3,62.35,8.1
32.26,76.84,5.0
25.43,94.63,6.8
27.23,93.73,6.1
22.37,39.11,9.2
36.94,50.65,4.4
27.83,42.99,7.7
25.13,71.6,8.1
21.67,74.55,8.2
34.65,63.1,4.7
34.5,65.54,4.6
32.56,54.18,6.0
35.25,77.6,3.7
30.03,61.83,6.6
35.54,76.46,3.7
35.68,55.83,4.6
21.14,59.87,8.8
19.33,31.73,7.6
30.57,33.27,6.1
37.55,85.1,2.4
29.55,49.43,7.4
31.58,68.82,5.6
27.57,76.07,6.9
26.32,83.63,7.0
35.49,67.09,4.2
20.55,67.12,8.2
21.76,83.47,7.8
33.39,33.2,5.0
20.77,78.89,7.7
35.37,92.45,2.9
23.65,94.48,7.5
25.48,80.03,7.5
26.28,79.21,7.2
29.75,31.4,6.4
37.96,75.74,2.7
26.77,46.68,8.3
19.32,93.74,6.3
26.53,67.68,7.7
20.38,51.36,8.9
22.96,54.99,9.7
32.66,61.43,5.6
22.7,57.83,9.5
21.94,50.55,9.5
20.73,57.04,8.7
29.77,39.29,6.8
30.78,74.03,5.7
37.44,36.75,3.6
34.98,57.53,4.8
36.3,41.95,4.3
31.05,33.3,5.9
24.06,83.44,7.9
21.04,33.73,8.4
34.94,67.13,4.4
24.81,55.69,9.0
24.8,56.23,9.0
37.32,83.88,2.6
30.51,53.27,6.8
29.88,55.4,7.0
31.38,50.98,6.6
37.58,64.41,3.4
26.63,71.92,7.5
24.45,63.38,8.8
31.18,30.2,5.7
28.63,80.07,6.2
26.98,63.21,7.7
19.94,32.44,7.9
18.1,41.53,7.6
28.12,83.65,6.3
28.08,37.65,7.3
33.83,88.27,3.8
19.08,68.31,7.5
30.35,54.68,6.8
24.69,80.59,7.8
22.1,49.29,9.6
29.94,91.27,5.2
25.81,38.74,8.3
26.69,33.13,7.7
25.93,89.82,6.8
25.43,45.12,8.8
24.87,49.86,9.2
30.15,31.32,6.2
22.27,57.37,9.3
33.76,45.28,5.5
36.18,53.08,4.6
36.35,40.51,4.2
28.21,36.95,7.3
26.75,39.53,8.0
22.6,34.67,9.1
28.16,89.07,6.0
25.85,30.72,7.9
25.47,42.44,8.6
37.72,77.34,2.7
29.77,93.56,5.1
24.78,46.99,9.1
34.15,81.24,4.0
35.12,64.6,4.4
29.15,76.33,6.2
31.15,75.29,5.5
21.37,39.18,8.8
22.8,83.34,8.3
23.74,89.1,7.7
26.53,37.89,8.0
20.64,60.51,8.5
18.4,40.67,7.7
19.17,50.12,8.5
29.61,38.93,6.8
28.43,71.04,6.8
37.58,46.05,4.0
20.42,41.87,8.6
31.3,56.33,6.4
33.71,40.99,5.3
23.31,54.07,9.7
23.89,79.79,8.2
25.1,75.24,7.9
33.18,31.36,5.0
19.26,79.29,7.0
34.61,58.14,4.9
35.44,34.74,4.3
36.97,93.23,2.2
29.5,33.95,6.6
22.0,51.3,9.5
18.76,30.28,7.3
26.27,89.35,6.7
21.48,30.88,8.4
26.49,72.44,7.5
19.23,78.64,7.1
19.8,68.78,7.8
21.22,45.07,9.0
22.16,79.39,8.2
33.37,34.54,5.1
32.75,74.4,4.9
35.97,44.15,4.5
29.6,37.08,6.7
19.12,59.39,8.0
20.09,67.29,8.0
26.85,39.7,7.9
18.06,36.74,7.4
27.83,56.81,7.7
35.92,66.0,4.0
24.97,70.83,8.2
22.3,51.23,9.7
18.33,84.9,6.4
19.47,42.16,8.2
30.09,38.0,6.6
23.58,59.97,9.3
24.52,62.79,8.8
20.89,79.37,7.7
21.55,63.6,8.7
28.77,40.45,7.2
23.41,57.39,9.5
19.71,44.86,8.4
35.23,45.74,4.9
18.06,71.97,6.9
27.5,69.94,7.2
34.08,65.32,4.8
21.97,48.75,9.5
32.57,72.88,5.0
35.38,55.03,4.8
32.51,53.85,6.0
22.74,54.76,9.7
32.61,42.41,5.8
28.21,39.82,7.4
36.39,61.36,4.1
32.18,55.38,6.1
33.88,40.71,5.2
25.2,35.4,8.4
21.4,49.18,9.3
21.61,42.56,9.1
27.99,82.22,6.4
36.58,56.66,4.2
19.0,58.92,8.0
23.86,74.62,8.4
34.08,30.41,4.6
27.67,89.32,6.2
34.07,89.13,3.6
28.06,55.35,7.7
23.36,54.94,9.6
31.45,58.4,6.2
32.51,52.49,6.1
32.58,31.92,5.3
32.99,78.96,4.6
19.09,33.91,7.6
25.07,40.43,8.7
31.77,43.0,6.1
27.94,72.98,6.9
19.06,49.65,8.4
33.43,70.2,4.8
21.43,56.98,9.0
27.68,83.24,6.5
31.57,30.92,5.6
21.45,62.16,8.8
32.37,75.44,5.0
24.87,66.34,8.4
36.21,62.61,4.1
27.13,55.09,8.1
28.12,52.67,7.8
32.57,30.3,5.2
27.88,36.43,7.4
34.69,60.43,4.8
24.59,33.2,8.5
21.04,60.38,8.7
37.2,31.75,3.4
21.93,62.34,9.0
36.98,83.55,2.7
22.82,58.48,9.5
27.72,53.52,7.9
24.62,45.69,9.1
31.2,57.34,6.4
33.34,63.06,5.2
20.49,69.52,8.0
31.81,74.33,5.3
24.57,89.48,7.4
21.02,31.68,8.3
31.01,74.0,5.6
35.29,31.28,4.1
30.81,90.93,4.8
36.3,39.36,4.1
37.25,62.74,3.7
37.62,93.09,2.0
18.62,80.8,6.7
27.05,83.22,6.7
35.73,82.77,3.3
24.14,75.0,8.3
28.58,76.19,6.5
20.77,46.15,8.9
32.69,32.56,5.3
37.14,37.66,3.7
26.12,87.87,6.9
37.64,37.7,3.5
26.47,61.01,8.1
30.27,62.15,6.5
34.75,60.77,4.8
30.19,53.44,7.0
19.13,66.76,7.6
18.01,55.09,7.7
37.25,56.91,4.0
28.71,50.01,7.7
31.92,55.39,6.2
37.52,56.49,3.9
36.02,62.4,4.2
32.15,83.97,4.6
22.8,75.62,8.6
23.82,54.33,9.5
28.34,61.84,7.3
22.62,89.47,7.9
36.41,66.88,3.8
27.39,65.91,7.4
33.42,65.84,5.0
32.16,50.77,6.3
29.47,83.34,5.7
20.64,86.7,7.2
32.97,60.53,5.5
23.73,52.76,9.6
23.15,42.01,9.5
21.0,37.64,8.6
33.49,55.67,5.5
33.02,79.0,4.5
22.83,47.61,9.8
33.75,93.53,3.5
20.27,82.2,7.3
18.18,88.91,6.1
34.37,33.2,4.6
22.09,92.34,7.5
19.58,60.66,8.1
28.31,64.89,7.1
20.78,54.61,8.9
27.24,40.49,7.8
35.31,48.5,5.0
30.51,54.6,6.8
34.28,55.42,5.2
19.63,83.59,7.0
24.57,75.29,8.1
36.09,78.19,3.4
23.01,89.93,8.0
22.84,89.84,7.9
30.77,60.17,6.4
30.43,48.05,6.9
24.32,36.61,8.8
20.29,56.92,8.6
21.77,68.98,8.6
35.44,63.18,4.4
20.7,91.97,7.0
31.89,80.56,4.9
27.4,84.27,6.5
19.76,63.52,8.0
34.68,71.97,4.2
35.5,51.87,4.9
33.66,82.28,4.1
31.92,48.23,6.3
27.47,69.62,7.2
22.87,60.17,9.4
30.31,55.75,6.8
32.54,88.05,4.3
24.98,31.72,8.3
28.72,33.21,6.9
32.29,51.24,6.2
20.15,85.55,7.1
19.63,70.43,7.6
36.04,87.92,2.9
37.91,37.28,3.4
24.41,30.86,8.5
33.57,38.06,5.2
28.41,47.25,7.7
33.82,31.28,4.7
31.73,36.25,5.8
23.63,42.24,9.4
29.49,59.03,7.0
26.9,45.34,8.2
36.15,62.51,4.1
34.26,86.47,3.7
28.2,55.92,7.6
27.82,66.25,7.3
31.49,36.68,5.9
33.26,49.41,5.9
32.61,52.47,6.0
33.92,75.56,4.4
23.04,66.44,9.2
19.16,80.52,6.9
25.81,69.0,7.9
20.39,66.78,8.1
20.26,84.76,7.2
21.95,57.24,9.2
33.26,44.34,5.6
27.51,43.55,7.9
21.61,41.81,9.0
35.41,31.65,4.1
35.9,84.07,3.1
18.42,75.81,6.9
30.25,33.51,6.3
22.53,45.66,9.6
